Nama Hotel,Harga Hotel,Bintang
RedDoorz near Jogja City Mall 3,"112,043",2
The Cabin Hotel,"111,782",1
RedDoorz @ Arkana Seturan Pakuwon Mall,"111,420",2
Sayana Homestay,"109,484",0
Teratai Guesthouse Mitra RedDoorz near Tugu Yogyakarta,"109,067",2
RedDoorz Plus near STIE YKPN,"108,978",3
RedDoorz Plus @ Affandi Gejayan,"108,892",3
RedDoorz near Galeria Mall 2,"108,853",2
SUPER OYO 890 Dewi Fortuna Guest House,"107,994",3
Capital O 93240 Chandra Dewi Hotel,"107,472",3
Americano Syariah,"105,452",3
Aster Triplets Guest House JCM Mitra RedDoorz,"104,494",2
Tasik Jogja Hotel,"104,388",1
RedDoorz near RS Sarjito Yogyakarta 2,"104,186",2
RedDoorz near MM UGM,"103,858",2
RedDoorz near Kranggan Tugu Jogja,"103,679",2
RedDoorz near Universitas Gajah Mada,"103,644",2
RedDoorz near Graha Saba UGM,"103,201",2
RedDoorz Plus near Jogja Kembali Monument,"102,836",3
RedDoorz Plus near Lempuyangan Station 4,"102,830",3
Hartono Inn Seturan Mitra RedDoorz,"102,807",2
Dreamzzz Vivo Jogja,"102,806",0
Residence Duksina 2 by SHM,"102,777",0
RedDoorz @ Jalan Ringroad Selatan,"102,758",2
OYO 1431 Travel-inn,"102,750",2
Hotel Wijaya Yogyakarta,"102,631",3
Maita Homestay Ringroad Utara Mitra RedDoorz,"102,108",0
RedDoorz Plus @ Taman Siswa 3,"102,058",3
The Nest Hotel,"102,048",0
Super OYO 250 De'gadri Ndalem,"101,800",2
Makuta Hotel,"101,339",2
RedDoorz Plus near Jogja City Mall 5,"100,755",3
RedDoorz near Hartono Mall,"99,347",2
Posnya Seni Godod Art Gallery & Homestay,"99,174",0
RedDoorz near AMIKOM Yogyakarta 2,"99,001",2
Super OYO 2041 Griya Aneka,"97,489",2
OYO 1718 Homestay Wak Gobenk,"97,431",0
SUPER OYO 2008 Sellinas Family Residence Syariah,"97,035",3
Kolo kolo,"96,747",2
Super OYO 759 Hotel Dewi Sri,"96,313",2
OYO 409 Pondok Helomi,"95,391",2
WaitHozz,"95,000",0
Hotel Adilla Syariah Ambarukmo,"94,479",2
RedDoorz Syariah near Galeria Mall Yogyakarta,"93,839",2
RedDoorz @ Golden Inn Tugu Yogyakarta,"93,528",2
Collection O Aliya Homestay Yogyakarta,"92,960",2
RedDoorz Plus @ Hotel Asih UNY,"92,950",3
Bugis Asri Hotel,"92,497",1
RedDoorz near Condongcatur Bus Station,"92,328",2
